QUESTION	QUESTION-ALIGNMENT	CHOICE 1	CHOICE 2	CHOICE 3	CHOICE 4	CORRECT CHOICE	RELEVANT TABLE	RELEVANT ROW	RELEVANT COL
The fall equinox is the day with the _______ period of daylight?	"0,1,2,3"	midrange	shortest	longest	none of the above	1	regents-01	4	3
The fall equinox has _______ periods for both day and night.	"0,1,2,3,5"	longest	midrange	shortest	quickest	2	regents-01	4	3
What is the period of daylight and the period of night of the fall equinox?	"0,1,4,5"	longest	midrange	midlength	shortest	2	regents-01	4	5
What is the period of night for the fall equinox?	"0,1,5"	shortest	longest	midrange	None of the above	3	regents-01	4	5
What length is the period of night during the fall equinox?	"0,1,5"	shorter than the day	longer than the day	midrange between day and night	varies by year compared to the day	3	regents-01	4	5
"In the _______, the summer solstice occurs in June"	"0,1,2,3,4"	southern hemisphere	northern hemisphere	north pole	equatorial region	2	regents-02	1	1
What occurs in June in the Northern hemisphere?	"0,1,3,4"	Summer solstice	Winter solstice	Spring equinox	Fall equinox	1	regents-02	1	3
When does the summer solstice occur in the northern hemisphere?	"0,1,2,3,4"	June	November	September	July	1	regents-02	1	5
In which hemisphere does the summer solstice occur in December?	"2,3,4"	Southern hemisphere	Northern hemisphere	Equatorial hemisphere	Western Hemisphere	1	regents-02	2	1
"The winter solstice, in the northern hemisphere takes place in which month?"	"0,1,2,3,4"	June	March	December	September	3	regents-02	3	5
In what month does winter solstice occur in the Southern hemisphere?	"0,1,2,3"	March	June	September	December	1	regents-02	4	1
Which event occurs in June in the southern hemisphere?	"0,1,3,4"	winter solstice	summer solstice	spring equinox	fall equinox	1	regents-02	4	3
When does the winter solstice occur in the southern hemisphere?	"0,1,2,3,4"	September	March	June	December	3	regents-02	4	5
"In the northern hemisphere, the spring equinox occurs in what month?"	"0,2,3,4"	September	March	June	December	2	regents-02	5	1
What orbital event occurs in the northern hemisphere during March?	"0,1,3,4"	winter solstice	spring equinox	fall equinox	summer solstice	2	regents-02	5	3
"In the northern hemisphere, the spring equinox occurs in what month?"	"0,1,2,3,4"	June	March	December	September	2	regents-02	5	5
"In the southern hemisphere , the spring equinox occurs in which month?"	"0,1,2,3,4"	June	December	March	September	4	regents-02	6	1
What month does the spring equinox occur in?	"2,3"	September	October	August	April	1	regents-02	6	3
When does the spring equinox occur in the southern hemisphere?	"0,1,2,3,4"	November	April	September	June	3	regents-02	6	5
In which hemisphere does the fall equinox occur in September?	"2,3,4"	Southern	Equatorial	Eastern	Northern	4	regents-02	7	1
The fall equinox occurs during which month in the northern hemisphere?	"0,1,2,3,4"	September	October	January	February	1	regents-02	7	5
What month does the fall equinox occur?	"2,3"	March	June	September	December	1	regents-02	8	1
Which orbital even occurs in the southern hemisphere during March?	"0,1,3,4"	summer solstice	spring equinox	fall equinox	winter solstice	3	regents-02	8	3
"In the southern hemisphere , the fall equinox occurs in which month?"	"0,1,2,3,4"	February	March	August	September	2	regents-02	8	5
"In the southern hemisphere	, the	summer solstice	occurs in what month?"	"0,1,2,3,4"	March	December	September	June	2	regents-02	2	5
In what part of the world does the winter solstice occur in December?	"2,4"	northern hemisphere	equatorial region	southern hemisphere	western hemisphere	1	regents-02	3	1
What event occurs in December in the northern hemisphere?	"0,1,3,4"	summer solstice	winter solstice	fall equinox	spring equinox	2	regents-02	3	3
What event occurs in December in the southern hemisphere?	"0,1,3,4"	fall equinox	spring equinox	summer solstice	winter solstice	3	regents-02	2	3
What event occurs in September in the northern hemisphere?	"0,1,3,4"	spring equinox	fall equinox	winter solstice	summer solstice	2	regents-02	7	3
Which country is located in the southern hemisphere?	"0,1"	Republic of Ireland	Angola	Democratic Republic of the Congo	Costa Rica	2	regents-03	1	0
Which hemisphere is the country Angola located in?	"0,1"	northern hemisphere	equatorial region	southern hemisphere	none of the above	3	regents-03	1	2
Which hemisphere is the country Botswana located in?	"0,1"	northern hemisphere	southern hemisphere	equatorial region	none of the above	2	regents-03	2	0
Which hemisphere is the country Botswana located in?	"0,1"	northern hemisphere	southern hemisphere	equatorial region	none of the above	2	regents-03	2	2
Burundi is located in the _______?	"0,1"	equatorial region	southern hemisphere	northern hemisphere	none of the above	2	regents-03	3	0
In what hemisphere is Burundi located?	"0,1"	Northern	Southern	Equatorial	Eastern	2	regents-03	3	2
What hemisphere is Comoros located in?	0	northern hemisphere	eastern hemisphere	western hemisphere	southern hemisphere	4	regents-03	4	0
Comoros is located in which hemisphere?	"0,1"	Equatorial Region	Southern Hemisphere	Northern Hemisphere	Eastern Hemisphere	2	regents-03	4	2
"If in the southern hemisphere, you are in this country."	1	Belarus	Japan	Lesotho	North Korea	3	regents-03	5	0
Lesotho is located in which region?	0	equatorial region	southern hemisphere	northern hemisphere	western hemisphere	2	regents-03	5	2
The country Madagascar is located in which hemisphere?	"0,1"	northern hemisphere	southern hemisphere	equatorial region	none of the above	2	regents-03	6	0
Madagascar is located in which hemisphere?	"0,1"	Northern	Western	Southern	Equatorial	3	regents-03	6	2
Malawi is located in what region?	0	equatorial region	northern hemisphere	southern hemisphere	western hemisphere	3	regents-03	7	2
Mauritius is located in which hemisphere?	"0,1"	western hemisphere	northern hemisphere	southern hemisphere	equatorial region	3	regents-03	8	2
What country is located in the southern hemisphere?	"0,1"	Costa Rica	Philippines	Samoa	Maldives	3	regents-03	9	0
In which hemisphere is Samoa found in?	0	Northern hemisphere	Southern hemisphere	Eastern hemisphere	Western hemisphere	2	regents-03	9	2
What country is located in the southern hemisphere?	"0,1"	Canada	Portugal	Mozambique	Saint Pierre and Miquelon (France)	3	regents-03	10	0
Which hemisphere is the country Mozambique located in?	"0,1"	northern hemisphere	southern hemisphere	equatorial region	none of the above	2	regents-03	10	2
What country is located in the southern hemisphere?	"0,1"	Netherlands	Vietnam	Sint Maarten	Namibia	4	regents-03	11	0
What hemisphere is Namibia located in?	"0,1"	Southern Hemisphere	Northern Hemisphere	Western Hemisphere	Eastern Hemisphere	1	regents-03	11	2
What country is located in the southern hemisphere?	"0,1"	Kyrgyzstan	Rwanda	Ukraine	Democratic Republic of the Congo	2	regents-03	12	0
Where is Rwanda located?	"0,1"	The equatorial region	The northern hemisphere	The southern hemisphere	The far east	3	regents-03	12	2
Which hemisphere is the country Seychelles located in?	"0,1"	equatorial region	northern hemisphere	southern hemisphere	none of the above	3	regents-03	13	0
Which hemisphere is the country Seychelles located in?	"0,1"	northern hemisphere	southern hemisphere	equatorial region	none of the above	2	regents-03	13	2
Which of the following is located in the southern hemisphere?	1	Swaziland	Cuba	United States	Saint Kitts and Nevis	1	regents-03	14	0
In what hemisphere is Swaziland located in?	"0,1"	southern hemisphere	equatorial region	northern hemisphere		1	regents-03	14	2
Which of the following countries is located in the Southern hemisphere?	1	Tanzania	Portugal	Serbia	Mongolia	1	regents-03	15	0
What hemisphere is Tanzania located?	"0,1"	southern hemisphere	northern hemisphere	cold hemisphere	equatorial region	1	regents-03	15	2
Which hemisphere is the country Zambia located in?	"0,1"	northern hemisphere	southern hemisphere	equatorial region	none of the above	2	regents-03	16	0
Zambia is located in which hemisphere?	"0,1"	equatorial region	southern hemisphere	western hemisphere	northern hemisphere	2	regents-03	16	2
_______ is located in the southern hemisphere.	"0,1"	Puerto Rico (US)	Taiwan	Zimbabwe	Russia	3	regents-03	17	0
united states	1	eastern	northern	southern	western	4	regents-03	17	2
Which hemisphere is the country Argentina located in?	"0,1"	southern hemisphere	western hemisphere	northern hemisphere	eastern hemisphere	1	regents-03	18	0
What hemisphere is Argentina located in?	"0,1"	Southern	Northern	Equatorial	Brazil	1	regents-03	18	2
Which country is located in the southern hemisphere	"0,1"	Kenya	Denmark	Bolivia	Turkey	3	regents-03	19	0
Which hemisphere is the country of Bolivia located?	0	northern hemisphere	equatorial region	southern hemisphere	north pole	3	regents-03	19	2
What hemisphere is Chile located in?	0	Armenia	Zimbabwe	United Kingdom	Southern	4	regents-03	20	0
In which hemisphere is Chile located?	"0,1"	Equatorial	Eastern	Southern	Northern	3	regents-03	20	2
Which country is located in the southern hemisphere?	"0,1"	Guatemala	Paraguay	Philippines	Austria	2	regents-03	21	0
Paraguay is located in the _______	"0,1"	northern hemisphere	southern hemisphere	equatorial region	south pole	2	regents-03	21	2
What country is located in the southern hemisphere?	"0,1"	Republic of the Congo	Peru	Jordan	Maldives	2	regents-03	22	0
What hemisphere is Peru located in?	"0,1"	Southern	Northern	United States	Iraq	1	regents-03	22	2
Which hemisphere is the country Uruguay located in?	"0,1"	equatorial region	southern hemisphere	northern hemisphere	none of the above	2	regents-03	23	0
What hemisphere is Uruguay located in?	0	Southern	Northern	Equatorial	Western	1	regents-03	23	2
"Based on the above chart, which country is the third listed which is located in the southern hemisphere?"	"0,1"	Rwanda	Bermuda (UK)	Saint Martin (France)	Tonga	4	regents-03	24	0
Tonga is in which hemisphere?	0	Northern hemisphere	Southern hemisphere	Western Hemisphere	Eastern Hemisphere	2	regents-03	24	2
In what hemisphere is Tuvalu located in?	"0,1"	eastern hemisphere	southern hemisphere	northern hemisphere	equatorial region	2	regents-03	25	2
What country is located in the southern hemisphere?	"0,1"	Belarus	Japan	Kiribati	Vanuatu	4	regents-03	26	0
Where is the country of Vanuatu located?	0	southern hemisphere	northern hemisphere	equatorial region	north pole	1	regents-03	26	2
What country is located in the southern hemisphere?	"0,1"	United Kingdom	Indonesia	Fiji	Honduras	3	regents-03	27	0
In which hemisphere is Fiji located?	"0,1"	southern	northern	western	eastern	1	regents-03	27	2
What country is located in southern hemisphere?	"0,1"	Nauru	Rwanda	Uruguay	Chile	1	regents-03	28	0
Where is the country Nauru located ?	"0,1"	northern hemisphere	eastern hemisphere	western hemisphere	southern hemisphere	4	regents-03	28	2
Reunion is located in what hemisphere?	0	southern	northern	eastern	western	1	regents-03	29	0
Which hemisphere is the country RÌ_å©union (France) located in?	"0,1"	equatorial region	northern hemisphere	southern hemisphere	none of the above	3	regents-03	29	2
Mayotte (France) is located in which hemisphere?	"0,1"	northern hemisphere	southern hemisphere	equatorial region	none of the above	2	regents-03	30	0
Mayotte (France) is located in which hemisphere?	"0,1"	southern hemisphere	equatorial region	eastern hemisphere	northern hemisphere	1	regents-03	30	2
British Indian Ocean Territory (United Kingdom) is located in which hemisphere?	"0,1"	southern hemisphere	northern hemisphere	equatorial region	western hemiphere	1	regents-03	31	2
_______ is located in the southern hemisphere	"0,1"	Ecuador	Heard Island and McDonald Islands (Australia)	Monaco	Sauda Arabia	2	regents-03	32	0
Heard Island is located in what hemisphere?	"0,1"	southern	northern	eastern	western	1	regents-03	32	2
What country is located in the southern hemisphere?	"0,1"	East Timor	Yemen	United States	Uzbekistan	1	regents-03	33	0
East Timor is located in what region?	0	northern hemisphere	equatorial region	eastern hemisphere	southern hemisphere	4	regents-03	33	2
What hemisphere is South Africa located in?	0	Turkey	Brazil	Northern	Southern	4	regents-03	34	0
Which hemisphere is South Africa located?	0	northern hemisphere	north pole	southern hemisphere	equatorial region	3	regents-03	34	2
Which country is located in the southern hemisphere?	"0,1"	Mexico	Antarctica	Israel	Spain	2	regents-03	35	0
Antarctica is located in which region?	0	southern hemisphere	northern hemisphere	western hemisphere	equatorial region	1	regents-03	35	2
A country found in the southern hemisphere is:	1	Albania	Bouvet Island	Honduras	China	2	regents-03	36	0
Bouvet Island (Norway)	"0,1"	western hemisphere	equatorial region	southern hemisphere	northern hemisphere	3	regents-03	36	2
What country is located in the southern hemisphere?	"0,1"	Burma	Uganda	French Southern and Antarctic Lands (France)	Morocco	3	regents-03	37	0
French Southern and Antarctic Lands (France) is located in which hemisphere?	"0,1"	eastern hemisphere	northern hemisphere	southern hemisphere	equatorial region	3	regents-03	37	2
"Based on the above chart, what is the third country that is located in the southern hemisphere?"	"0,1"	Laos	Maldives	South Georgia and the South Sandwich Islands (United Kingdom)	Rwanda	3	regents-03	38	0
South Georgia and the South Sandwich Islands (United Kingdom) is located in the _______.	"0,1"	southern hemisphere	northern hemishpere	equatorial region	north pole	1	regents-03	38	2
In which hemisphere are the South Orkney Islands located?	"0,1"	northern	southern	equatorial	western	2	regents-03	39	0
In which hemisphere is South Orkney Islands (Antarctic Treaty signatories) located?	"0,1"	Northern	Equatorial	Southern	Eastern	3	regents-03	39	2
South Shetland Islands (Antarctic Treaty signatories) is located in the _______?	"0,1"	equatorial region	northern hemisphere	southern hemisphere	none of the above	3	regents-03	40	0
South Shetland Islands (Antarctic Treaty signatories) is located in which hemisphere?	"0,1"	western hemisphere	northern hemisphere	equatorial region	southern hemisphere	4	regents-03	40	2
Which hemisphere is American Samoa located in?	"0,1"	Southern	Northern	Western	Eastern	1	regents-03	41	0
Which hemisphere is the country American Samoa (United States) located in?	"0,1"	northern hemisphere	equatorial region	southern hemisphere	none of the above	3	regents-03	41	2
What country is located in the southern hemisphere?	1	Republic of Macedonia	Ashmore and Cartier Islands (Australia)	Jamaica	Spain	2	regents-03	42	2
Which hemisphere is the country Christmas Island (Australia) located in?	"0,1"	northern hemisphere	southern hemisphere	equatorial region	none of the above	2	regents-03	43	2
Where is Cocos (Keeling) Islands (Australia) located?	0	Southern Hemisphere	Equatorial Region	Northern Hemisphere	China	3	regents-03	44	2
Which of the following countries is located in the southern hemisphere?	"0,1"	Cook Islands (New Zealand)	Hungary	Grenada	Yemen	1	regents-03	45	0
In which hemisphere is Cook Islands (New Zealand) located?	"0,1"	Northern	Equatorial	Eastern	Southern	4	regents-03	45	2
Coral Sea Islands (Australia)	"0,1"	northern hemisphere	southern hemisphere	western hemisphere	equatorial region	2	regents-03	46	2
The country _______ is located in the southern hemipshere	"0,1"	French Polynesia (France)	Malaysia	United Arab Emirates	Greenland (Denmark)	1	regents-03	47	0
French Polynesia (France) is located in which hemisphere?	"0,1"	Western	Equatorial	Northern	Southern	4	regents-03	47	2
Jarvis Island is located in what hemisphere?	0	southern	northern	eastern	western	1	regents-03	48	0
Which hemisphere is the countryJarvis Island (United States)  located in?	"0,1"	northern hemisphere	southern hemisphere	equatorial region	none of the above	2	regents-03	48	2
Which country is in the southern hemisphere?	1	Libya	New Zealand	Gabon	USA	2	regents-03	49	0
New Zealand is located in which hemisphere?	"0,1"	northern hemisphere	southern hemisphere	eastern hemisphere	equatorial region	2	regents-03	49	2
Which country is located in the southern hemisphere	"0,1"	Belarus	Laos	Denmark	Niue	4	regents-03	50	0
Niue (New Zealand) is located in which hemisphere?	"0,1"	northern hemisphere	southern hemisphere	equatorial region	western hemiphere	2	regents-03	50	2
What country is located in the southern hemisphere?	"0,1"	Poland	Norfolk Island (Australia)	Dominica	Laos	2	regents-03	51	0
Which hemisphere is Norfolk Island (Australia) located in?	"0,1"	Northern hemisphere	Southern hemisphere	Both hemispheres	None of the above	2	regents-03	51	2
What country is located in the southern hemisphere?	"0,1"	Mongolia	Kazakhstan	Pitcairn Islands (United Kingdom)	Vietnam	3	regents-03	52	0
Pitcairn Islands (United Kingdom) is located in which hemisphere?	"0,1"	western hemisphere	equatorial region	southern hemisphere	northern hemisphere	3	regents-03	52	2
Where are the Solomon Islands located?	1	equatorial region	northern hemisphere	southern hemisphere	north pole	3	regents-03	53	0
Solomon Islands is located in which hemisphere?	"0,1"	equatorial region	southern hemisphere	northern hemisphere	eastern hemisphere	2	regents-03	53	2
The Territory of New Caldeonia is located in what hemisphere?	0	southern	northern	eastern	western	1	regents-03	54	0
Which hemisphere is Caldeonia located in?	"0,1"	southern	northern	eastern	western	1	regents-03	54	2
Tokelau (New Zealand) is located in which hemisphere?	"0,1"	southern hemisphere	northern hemisphere	equatorial region	western hemiphere	1	regents-03	55	2
Which hemisphere is the country Wallis and Futuna (France) located in?	"0,1"	southern hemisphere	northern hemisphere	equatorial region	none of the above	1	regents-03	56	0
Where is Wallis and futuna (France) located in?	"0,1"	Northern hemisphere	Southern hemisphere	Eastern hemisphere	Western hemisphere	2	regents-03	56	2
Mayotte (France) is located in?	0	Southern hemisphere	Western hemisphere	Eastern hemisphere	Equatorial Region	1	regents-03	57	0
Mayotte is located where?	"0,1"	northern hemisphere	southern hemisphere	equatorial region	south pole	2	regents-03	57	2
In which hemisphere is Jarvis Island located?	"0,1"	northern	southern	eastern	western	2	regents-03	58	0
Jarvis Island (United States) is located in which hemisphere?	"0,1"	equatorial region	northern hemisphere	southern hemisphere	eastern hemisphere	3	regents-03	58	2
What country is located in the equatorial region?	"0,1"	Tokelau (New Zealand)	Japan	Swaziland	Democratic Republic of the Congo	4	regents-03	59	0
What country is located in the equatorial region?	1	Uzbekistan	Israel	Democratic Republic of the Congo	Zambia	3	regents-03	59	2
Which country is located in the equatorial region?	"0,1"	Gabon	Zambia	Nigeria	Qatar	1	regents-03	60	0
Gabon is located in which hemisphere?	"0,1"	equatorial region	southern hemisphere	northern hemisphere	eastern hemisphere	1	regents-03	60	2
What hemisphere s the Republic of Congo located in?	"0,1"	Northern	equatorial	Southern	Georgia	2	regents-03	61	0
Which hemisphere is the Republic of the Congo located in?	"0,1"	equatorial region	southern hemisphere	northern hemisphere	south pole	1	regents-03	61	2
What hemisphere is the equatorial regionial Guinea located?	"0,1"	equatorial	Northern	Southern	Niger	1	regents-03	62	2
Which hemisphere is the country Kenya located in?	"0,1"	southern hemisphere	northern hemisphere	equatorial region	none of the above	3	regents-03	63	0
Where is the country known as Kenya located?	"0,1"	The Southern Hemisphere of the Earth	Near the Equator	The Northern Hemisphere of the Earth	The Western part of the Earth	2	regents-03	63	2
Which of the following is located in the equatorial region?	"0,1"	Niger	The Bahamas	SÌ_å£o TomÌ_å© and PrÌ________ncipe	France	3	regents-03	64	0
SÌ_å£o TomÌ_å© and PrÌ________ncipe is located in which hemisphere?	"0,1"	eastern hemisphere	equatorial region	western hemisphere	northern hemisphere	2	regents-03	64	2
Which country is located in the equatorial region?	"0,1"	Seychelles	Madagascar	Somalia	Japan	3	regents-03	65	0
Somalia is located in which hemisphere?	"0,1"	equatorial region	southern hemisphere	northern hemisphere	western hemiphere	1	regents-03	65	2
Choose a country that can be found in the equatorial region	1	Ethiopia	Uganda	Mexico	Saint Lucia	2	regents-03	66	0
Uganda is located in which hemisphere?	"0,1"	eastern hemisphere	northern hemisphere	equatorial region	southern hemisphere	3	regents-03	66	2
where is girls generation from?	0	South korea	japan	china	Thailand	1	regents-03	67	0
Indonesia is located in which region?	"0,1"	Equatorial	Northern	Southern	Eastern	1	regents-03	67	2
What hemisphere is Maldives in?	0	Northern hemisphere	Southern hemisphere	Western Hemisphere	Equatorial region	4	regents-03	68	2
Where is Brazil located in?	"0,1"	Northern hemisphere	Equatorial region	southern hemisphere	western hemisphere	2	regents-03	69	2
Which country is located in the equatorial region?	"0,1"	Ecuador	Taiwan	China	Belgium	1	regents-03	70	0
What country is located in the equatorial region?	1	Kyrgyzstan	Singapore	Ecuador	Spain	3	regents-03	70	2
What country is located in the equatorial region?	"0,1"	Greece	Guinea	Colombia	Comoros	3	regents-03	71	0
What section of a globe would you find the country of Colombia located?	"0,1"	southern hemisphere	equatorial region	northern hemisphere	left hemisphere	2	regents-03	71	2
Kiribati is located in which hemisphere?	"0,1"	northern hemisphere	equatorial region	western hemisphere	southern hemisphere	2	regents-03	72	2
Which of these countries is located in the northern hemisphere?	"0,1"	Peru	Burundi	Seychelles	Albania	4	regents-03	73	0
Albania is located in where?	"0,1"	In the southern hemisphere	In the equitorial region	In the northern hemisphere	None of the above	3	regents-03	73	2
Which country is in the northern hemisphere?	1	Chad	Republic of Congo	Andorra	Norfolk Island (Australia)	3	regents-03	74	0
Andorra is located in which hemisphere?	"0,1"	western hemisphere	southern hemisphere	equatorial region	northern hemisphere	4	regents-03	74	2
Armenia is located in which hemisphere?	"0,1"	southern hemisphere	northern hemisphere	equatorial region	western hemiphere	2	regents-03	75	2
What country is located in the northern hemisphere?	"0,1"	Argentina	Austria	Guinea-Bissau	Nigeria	2	regents-03	76	0
What hemisphere is Austria located in?	0	equitorial region	Northern hemisphere	southern hemisphere	Denmark	2	regents-03	76	2
What country is located in the northern hemisphere?	"0,1"	Tuvalu	equatorial regionial Guinea	Azerbaijan	Wallis and Futuna (France)	3	regents-03	77	0
Which hemisphere is the country Azerbaijan located in?	"0,1"	southern hemisphere	northern hemisphere	equatorial region	none of the above	2	regents-03	77	2
What country is located in the Northern hemisphere?	"0,1"	Mozambique	Belarus	Solomon Islands	Guinea	2	regents-03	78	0
Belarus is located in which hemisphere?	"0,1"	equatorial region	northern hemisphere	southern hemisphere	western hemiphere	2	regents-03	78	2
Which of the following is located in the northern hemisphere?	"0,1"	Belgium	Suriname	Cook Islands (New Zealand)	Somalia	1	regents-03	79	0
Belgium is located in which hemisphere?	"0,1"	northern hemisphere	southern hemisphere	equatorial region	western hemiphere	1	regents-03	79	2
Which country is located in the northern hemisphere?	"0,1"	Egypt	Bosnia and Herzegovina	Sudan	Cape Verde	2	regents-03	80	0
Bosnia and Herzegovina is located in which hemisphere?	"0,1"	eastern hemisphere	equatorial region	southern hemisphere	northern hemisphere	4	regents-03	80	2
What country is located in the northern hemisphere?	"0,1"	Solomon Islands	Brazil	Bulgaria	Tunisia	3	regents-03	81	0
Bulgaria is located in which hemisphere?	"0,1"	southern hemisphere	equatorial region	northern hemisphere	western hemiphere	3	regents-03	81	2
Croatia is located in what hemisphere?	0	northern	southern	eastern	western	1	regents-03	82	0
Croatia is located in which hemisphere?	"0,1"	northern hemisphere	southern hemisphere	equatorial region	western hemiphere	1	regents-03	82	2
What hemisphere is the country of Cyprus located in?	"0,1"	southern hemisphere	equatorial region	south pole	northern hemisphere	4	regents-03	83	0
Which hemisphere is the country Cyprus located in?	"0,1"	northern hemisphere	southern hemisphere	equatorial region	none of the above	1	regents-03	83	2
What hemisphere is Czech Republic in?	0	Northen	Eastern	Southern	South West	1	regents-03	84	0
Where is the Czech Republic located?	"0,1"	The southern hemisphere	The northern hemisphere	The equatorial region	The far east	2	regents-03	84	2
What country is located in the northern hemisphere?	"0,1"	Malawi	Namibia	Bouvet Island (Norway)	Denmark	4	regents-03	85	0
Denmark is located in what region?	0	western hemisphere	southern hemisphere	northern hemisphere	equatorial region	3	regents-03	85	2
Estonia is located in which hemisphere?	"0,1"	southern hemisphere	northern hemisphere	equatorial region	western hemiphere	2	regents-03	86	2
What country is located in the northern hemisphere?	"0,1"	Jarvis Island (United States)	Tuvalu	Ecuador	Finland	4	regents-03	87	0
In which hemisphere is Finland located?	"0,1"	Southern	Northern	Equatorial	Western	2	regents-03	87	2
France is located in which hemisphere?	"0,1"	northern hemisphere	southern hemisphere	eastern hemisphere	equatorial region	1	regents-03	88	2
Which hemisphere is the counntry Georgia located in	"0,1"	southern hemisphere	northern hemisphere	eastern hemisphere	none of the above	1	regents-03	89	0
In which hemisphere is Georgia located?	"0,1"	Northern	Southern	Equatorial	Eastern	1	regents-03	89	2
Where is Germany located?	"0,1"	Northern hemisphere	Southern hemisphere	Eastern hemisphere	Western hemisphere	1	regents-03	90	2
Which hemisphere is the country Greece located in?	"0,1"	northern hemisphere	southern hemisphere	equatorial region	none of the above	1	regents-03	91	2
Hungary is located in what hemisphere?	0	Western	Eastern	Northern	Southern	3	regents-03	92	0
What hemisphere is Hungary in?	0	Northern hemisphere	Southern hemisphere	Western Hemisphere	Eastern Hemisphere	1	regents-03	92	2
What country is located in the northern hemisphere?	"0,1"	Iceland	Maldives	Mauritania	Libya	1	regents-03	93	0
What hemisphere is Iceland located in?	"0,1"	Southern	equatorial	Northern	Germany	3	regents-03	93	2
What country is located in the northern hemisphere?	"0,1"	Solomon Islands	Republic of Ireland	Angola	Botswana	2	regents-03	94	0
Republic of Ireland is located in which hemisphere?	"0,1"	equatorial region	southern hemisphere	western hemisphere	northern hemisphere	4	regents-03	94	2
"Based on the above chart, what is the first country which is located in the northern hemisphere?"	"0,1"	Mauritius	East Timor	China	Italy	4	regents-03	95	0
Italy is located in what region?	0	southern hemisphere	northern hemisphere	eastern hemisphere	equatorial region	2	regents-03	95	2
